freq,sectperf,unit,geo,Ano,Valor
A,TOTAL,PC_GDP,FI1B,2013 ,3.84
A,TOTAL,PC_GDP,FI1C,2013 ,2.44
A,TOTAL,PC_GDP,FI1D,2013 ,3.08
A,TOTAL,PC_GDP,FI20,2013 ,0.3
A,TOTAL,PC_GDP,FR10,2013 ,2.9
A,TOTAL,PC_GDP,FR21,2013 ,0.76
A,TOTAL,PC_GDP,FR22,2013 ,1.41
A,TOTAL,PC_GDP,FR23,2013 ,1.43
A,TOTAL,PC_GDP,FR24,2013 ,1.63
A,TOTAL,PC_GDP,FR25,2013 ,1.27
A,TOTAL,PC_GDP,FR26,2013 ,0.99
A,TOTAL,PC_GDP,FR30,2013 ,0.91
A,TOTAL,PC_GDP,FR41,2013 ,1.25
A,TOTAL,PC_GDP,FR42,2013 ,1.71
A,TOTAL,PC_GDP,FR43,2013 ,2.72
A,TOTAL,PC_GDP,FR51,2013 ,1.23
A,TOTAL,PC_GDP,FR52,2013 ,2.01
A,TOTAL,PC_GDP,FR53,2013 ,0.93
A,TOTAL,PC_GDP,FR61,2013 ,1.6
A,TOTAL,PC_GDP,FR62,2013 ,4.75
A,TOTAL,PC_GDP,FR63,2013 ,1.0
A,TOTAL,PC_GDP,FR71,2013 ,2.77
A,TOTAL,PC_GDP,FR72,2013 ,2.24
A,TOTAL,PC_GDP,FR81,2013 ,2.39
A,TOTAL,PC_GDP,FR82,2013 ,2.49
A,TOTAL,PC_GDP,FR83,2013 ,0.29
A,TOTAL,PC_GDP,FRZZ,2013 ,43.65
A,TOTAL,PC_GDP,HR03,2013 ,0.41
A,TOTAL,PC_GDP,HR04,2013 ,0.99
A,TOTAL,PC_GDP,HU10,2013 ,1.76
A,TOTAL,PC_GDP,HU21,2013 ,1.2
A,TOTAL,PC_GDP,HU22,2013 ,0.73
A,TOTAL,PC_GDP,HU23,2013 ,0.75
A,TOTAL,PC_GDP,HU31,2013 ,0.72
A,TOTAL,PC_GDP,HU32,2013 ,1.27
A,TOTAL,PC_GDP,HU33,2013 ,1.17
A,TOTAL,PC_GDP,IE01,2013 ,1.74
A,TOTAL,PC_GDP,IE02,2013 ,1.49
A,TOTAL,PC_GDP,IS00,2013 ,1.68
A,TOTAL,PC_GDP,ITC1,2013 ,2.0
A,TOTAL,PC_GDP,ITC2,2013 ,0.4
A,TOTAL,PC_GDP,ITC3,2013 ,1.34
A,TOTAL,PC_GDP,ITC4,2013 ,1.3
A,TOTAL,PC_GDP,ITF1,2013 ,0.86
A,TOTAL,PC_GDP,ITF2,2013 ,0.76
A,TOTAL,PC_GDP,ITF3,2013 ,1.29
A,TOTAL,PC_GDP,ITF4,2013 ,0.82
A,TOTAL,PC_GDP,ITF5,2013 ,0.52
A,TOTAL,PC_GDP,ITF6,2013 ,0.55
A,TOTAL,PC_GDP,ITG1,2013 ,0.9
A,TOTAL,PC_GDP,ITG2,2013 ,0.78
A,TOTAL,PC_GDP,ITH1,2013 ,0.6
A,TOTAL,PC_GDP,ITH2,2013 ,1.73
A,TOTAL,PC_GDP,ITH3,2013 ,1.13
A,TOTAL,PC_GDP,ITH4,2013 ,1.51
A,TOTAL,PC_GDP,ITH5,2013 ,1.65
A,TOTAL,PC_GDP,ITI1,2013 ,1.28
A,TOTAL,PC_GDP,ITI2,2013 ,0.83
A,TOTAL,PC_GDP,ITI3,2013 ,0.83
A,TOTAL,PC_GDP,ITI4,2013 ,1.63
A,TOTAL,PC_GDP,LU00,2013 ,1.23
A,TOTAL,PC_GDP,LV00,2013 ,0.64
A,TOTAL,PC_GDP,ME00,2013 ,0.38
A,TOTAL,PC_GDP,MT00,2013 ,0.73
A,TOTAL,PC_GDP,NO01,2013 ,2.86
A,TOTAL,PC_GDP,NO02,2013 ,0.8
A,TOTAL,PC_GDP,NO03,2013 ,1.54
A,TOTAL,PC_GDP,NO04,2013 ,1.07
A,TOTAL,PC_GDP,NO05,2013 ,1.61
A,TOTAL,PC_GDP,NO06,2013 ,4.79
A,TOTAL,PC_GDP,NO07,2013 ,1.64
A,TOTAL,PC_GDP,PL11,2013 ,0.67
A,TOTAL,PC_GDP,PL12,2013 ,1.55
A,TOTAL,PC_GDP,PL21,2013 ,1.32
A,TOTAL,PC_GDP,PL22,2013 ,0.63
A,TOTAL,PC_GDP,PL31,2013 ,0.61
A,TOTAL,PC_GDP,PL32,2013 ,1.22
A,TOTAL,PC_GDP,PL33,2013 ,0.35
A,TOTAL,PC_GDP,PL34,2013 ,0.55
A,TOTAL,PC_GDP,PL41,2013 ,0.63
A,TOTAL,PC_GDP,PL42,2013 ,0.3
A,TOTAL,PC_GDP,PL43,2013 ,0.26
A,TOTAL,PC_GDP,PL51,2013 ,0.66
A,TOTAL,PC_GDP,PL52,2013 ,0.23
A,TOTAL,PC_GDP,PL61,2013 ,0.31
A,TOTAL,PC_GDP,PL62,2013 ,0.37
A,TOTAL,PC_GDP,PL63,2013 ,1.0
A,TOTAL,PC_GDP,PT11,2013 ,1.39
A,TOTAL,PC_GDP,PT15,2013 ,0.36
A,TOTAL,PC_GDP,PT16,2013 ,1.29
A,TOTAL,PC_GDP,PT17,2013 ,1.68
A,TOTAL,PC_GDP,PT18,2013 ,0.46
A,TOTAL,PC_GDP,PT20,2013 ,0.35
A,TOTAL,PC_GDP,PT30,2013 ,0.34
A,TOTAL,PC_GDP,RO11,2013 ,0.32
A,TOTAL,PC_GDP,RO12,2013 ,0.13
A,TOTAL,PC_GDP,RO21,2013 ,0.31
A,TOTAL,PC_GDP,RO22,2013 ,0.06
A,TOTAL,PC_GDP,RO31,2013 ,0.34
A,TOTAL,PC_GDP,RO32,2013 ,0.82
A,TOTAL,PC_GDP,RO41,2013 ,0.19
A,TOTAL,PC_GDP,RO42,2013 ,0.28
A,TOTAL,PC_GDP,SE11,2013 ,3.82
A,TOTAL,PC_GDP,SE12,2013 ,3.86
A,TOTAL,PC_GDP,SE21,2013 ,1.45
