freq,unit,sectperf,geo,Ano,Valor
A,PC_HC,HES,TR,2013 ,41.56
A,PC_HC,HES,UK,2013 ,44.63
A,PC_HC,PNP,AT,2013 ,42.93
A,PC_HC,PNP,BE,2013 ,44.34
A,PC_HC,PNP,BG,2013 ,29.03
A,PC_HC,PNP,CY,2013 ,31.3
A,PC_HC,PNP,CZ,2013 ,37.13
A,PC_HC,PNP,DK,2013 ,58.43
A,PC_HC,PNP,EA20,2013 ,47.17
A,PC_HC,PNP,EA21,2013 ,46.88
A,PC_HC,PNP,EE,2013 ,55.56
A,PC_HC,PNP,EL,2013 ,49.67
A,PC_HC,PNP,ES,2013 ,48.06
A,PC_HC,PNP,EU27_2020,2013 ,46.78
A,PC_HC,PNP,FI,2013 ,60.13
A,PC_HC,PNP,FR,2013 ,40.05
A,PC_HC,PNP,IT,2013 ,51.89
A,PC_HC,PNP,JP,2013 ,14.38
A,PC_HC,PNP,KR,2013 ,25.13
A,PC_HC,PNP,ME,2013 ,69.57
A,PC_HC,PNP,PL,2013 ,38.82
A,PC_HC,PNP,PT,2013 ,45.21
A,PC_HC,PNP,RO,2013 ,39.5
A,PC_HC,PNP,RS,2013 ,50.0
A,PC_HC,PNP,RU,2013 ,43.62
A,PC_HC,PNP,SE,2013 ,47.26
A,PC_HC,PNP,SI,2013 ,29.41
A,PC_HC,PNP,SK,2013 ,45.76
A,PC_HC,PNP,UK,2013 ,39.59
A,PC_HC,TOTAL,AT,2013 ,29.59
A,PC_HC,TOTAL,BA,2013 ,38.88
A,PC_HC,TOTAL,BE,2013 ,33.4
A,PC_HC,TOTAL,BG,2013 ,49.7
A,PC_HC,TOTAL,CY,2013 ,38.33
A,PC_HC,TOTAL,CZ,2013 ,28.25
A,PC_HC,TOTAL,DE,2013 ,27.95
A,PC_HC,TOTAL,DK,2013 ,34.52
A,PC_HC,TOTAL,EA20,2013 ,31.55
A,PC_HC,TOTAL,EA21,2013 ,31.71
A,PC_HC,TOTAL,EE,2013 ,44.42
A,PC_HC,TOTAL,EL,2013 ,39.38
A,PC_HC,TOTAL,ES,2013 ,39.34
A,PC_HC,TOTAL,EU27_2020,2013 ,32.21
A,PC_HC,TOTAL,FI,2013 ,31.49
A,PC_HC,TOTAL,FR,2013 ,25.46
A,PC_HC,TOTAL,HR,2013 ,47.75
A,PC_HC,TOTAL,HU,2013 ,30.32
A,PC_HC,TOTAL,IE,2013 ,35.25
A,PC_HC,TOTAL,IS,2013 ,43.83
A,PC_HC,TOTAL,IT,2013 ,35.7
A,PC_HC,TOTAL,JP,2013 ,14.63
A,PC_HC,TOTAL,KR,2013 ,18.18
A,PC_HC,TOTAL,LT,2013 ,51.22
A,PC_HC,TOTAL,LU,2013 ,27.28
A,PC_HC,TOTAL,LV,2013 ,51.97
A,PC_HC,TOTAL,ME,2013 ,50.9
A,PC_HC,TOTAL,MT,2013 ,30.37
A,PC_HC,TOTAL,NL,2013 ,24.56
A,PC_HC,TOTAL,NO,2013 ,36.95
A,PC_HC,TOTAL,PL,2013 ,37.79
A,PC_HC,TOTAL,PT,2013 ,45.42
A,PC_HC,TOTAL,RO,2013 ,45.69
A,PC_HC,TOTAL,RS,2013 ,50.46
A,PC_HC,TOTAL,RU,2013 ,40.88
A,PC_HC,TOTAL,SE,2013 ,33.27
A,PC_HC,TOTAL,SI,2013 ,35.99
A,PC_HC,TOTAL,SK,2013 ,42.7
A,PC_HC,TOTAL,TR,2013 ,36.23
A,PC_HC,TOTAL,UK,2013 ,38.1
A,PC_HC,BES,BA,2014 ,54.05
A,PC_HC,BES,BG,2014 ,39.58
A,PC_HC,BES,CY,2014 ,32.92
A,PC_HC,BES,CZ,2014 ,13.85
A,PC_HC,BES,EE,2014 ,29.89
A,PC_HC,BES,ES,2014 ,30.62
A,PC_HC,BES,FI,2014 ,16.59
A,PC_HC,BES,FR,2014 ,20.0
A,PC_HC,BES,HR,2014 ,42.19
A,PC_HC,BES,HU,2014 ,17.67
A,PC_HC,BES,IT,2014 ,22.33
A,PC_HC,BES,JP,2014 ,8.13
A,PC_HC,BES,KR,2014 ,14.2
A,PC_HC,BES,LT,2014 ,32.17
A,PC_HC,BES,ME,2014 ,36.59
A,PC_HC,BES,MT,2014 ,23.04
A,PC_HC,BES,NL,2014 ,18.62
A,PC_HC,BES,NO,2014 ,23.52
A,PC_HC,BES,PL,2014 ,19.47
A,PC_HC,BES,PT,2014 ,32.01
A,PC_HC,BES,RO,2014 ,40.1
A,PC_HC,BES,RS,2014 ,34.63
A,PC_HC,BES,RU,2014 ,36.7
A,PC_HC,BES,SI,2014 ,26.02
A,PC_HC,BES,SK,2014 ,18.48
A,PC_HC,BES,TR,2014 ,23.72
A,PC_HC,BES,UK,2014 ,20.26
A,PC_HC,GOV,BA,2014 ,34.78
A,PC_HC,GOV,BE,2014 ,36.72
A,PC_HC,GOV,BG,2014 ,58.4
A,PC_HC,GOV,CH,2014 ,34.8
A,PC_HC,GOV,CY,2014 ,56.32
A,PC_HC,GOV,CZ,2014 ,38.12
A,PC_HC,GOV,DE,2014 ,34.94
A,PC_HC,GOV,DK,2014 ,48.5
A,PC_HC,GOV,EA20,2014 ,41.51
A,PC_HC,GOV,EA21,2014 ,41.93
A,PC_HC,GOV,EE,2014 ,60.43
A,PC_HC,GOV,ES,2014 ,48.54
A,PC_HC,GOV,EU27_2020,2014 ,41.98
A,PC_HC,GOV,FI,2014 ,43.91
A,PC_HC,GOV,FR,2014 ,34.95
A,PC_HC,GOV,HR,2014 ,52.36
A,PC_HC,GOV,HU,2014 ,42.96
A,PC_HC,GOV,IE,2014 ,38.42
A,PC_HC,GOV,IT,2014 ,46.89
A,PC_HC,GOV,JP,2014 ,16.85
A,PC_HC,GOV,KR,2014 ,25.03
A,PC_HC,GOV,LT,2014 ,52.7
A,PC_HC,GOV,LU,2014 ,38.98
A,PC_HC,GOV,LV,2014 ,56.75
A,PC_HC,GOV,ME,2014 ,61.3
A,PC_HC,GOV,MT,2014 ,33.33
A,PC_HC,GOV,NL,2014 ,38.96
A,PC_HC,GOV,NO,2014 ,45.77
A,PC_HC,GOV,PL,2014 ,41.86
A,PC_HC,GOV,PT,2014 ,58.65
A,PC_HC,GOV,RO,2014 ,48.73
A,PC_HC,GOV,RS,2014 ,58.18
A,PC_HC,GOV,RU,2014 ,44.36
A,PC_HC,GOV,SI,2014 ,50.12
A,PC_HC,GOV,SK,2014 ,48.73
A,PC_HC,GOV,TR,2014 ,30.42
A,PC_HC,GOV,UK,2014 ,35.74
A,PC_HC,HES,BA,2014 ,44.24
A,PC_HC,HES,BE,2014 ,40.46
A,PC_HC,HES,BG,2014 ,48.75
A,PC_HC,HES,CY,2014 ,37.85
A,PC_HC,HES,CZ,2014 ,34.86
A,PC_HC,HES,DE,2014 ,38.18
A,PC_HC,HES,DK,2014 ,42.01
A,PC_HC,HES,EA20,2014 ,40.35
A,PC_HC,HES,EA21,2014 ,40.43
A,PC_HC,HES,EE,2014 ,47.31
A,PC_HC,HES,ES,2014 ,41.67
A,PC_HC,HES,EU27_2020,2014 ,40.78
