Project ID;Project acronym;Status;Title;Project URL;Project URL 2;Description;Start date;End date;Organisation name;Organisation name ENG;Organisation ID;Vat Number organisation;Organisation country;Geographical coordinates Organisation;Organization URL;Programme;Key Action;Call;Role of University;Total cost of project;EU Contribution;EcContribution per partner;Number of Participants
2022-1-ES01-KA171-HED-000073449;;Closed;Mobility of higher education students and staff supported by external policy funds (KA171-HED) - Coordinator: UNIVERSIDAD DE JAEN (E10208705);;https://erasmus-plus.ec.europa.eu/projects/search/details/2022-1-ES01-KA171-HED-000073449;This action supports physical and blended mobility of higher education students and staff from/to third countries not associated to Erasmus+. Students in all study fields and cycles can take part in a study period or traineeship abroad. Higher education teaching and administrative staff can take part in professional development activities abroad, as well as staff from the field of work in order to teach and train students or staff at higher education institutions.;1-8-2022;31-7-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Learning Mobility of Individuals;ErasmusPlus_KA1_2022;Coordinator;;1.179.623,00;;1
101062601;OliPFUEL;Closed;Advanced Biofuels Production from Waste Olive Pomace of Olive Oil Industries;;http://cordis.europa.eu/project/id/101062601;The olive oil industry produces significant amounts of olive pomace waste every year. Disposal has environmental ramifications, as does converting it into a biofuel because the conventional process necessitates the use of corrosive and toxic acids. The MSCA-funded OliPFUEL project aims to change this through a proof-of-concept activity by researchers at the University of Jaen and the bioenergy company Bioliza. The project will develop an environmentally friendly way of optimising the conversion without the use of toxic chemicals by utilising water hydrolysis, yeast fermentation and hydrothermal processes. Results may lead to up-scaled olive pomace biofuel production and a greener energy future.;5-9-2022;4-9-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;HORIZON.1.2 - Marie Skłodowska-Curie Actions (MSCA) ;MSCA Postdoctoral Fellowships 2021 ;HORIZON-MSCA-2021-PF-01;Individual Project;165.312,96;165.312,96;;1
101081475;MLFD;Closed;Media Literacy for Democracy;https://fidu.it/language/en/media-literacy-for-democracy-cerv-programme/;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43251589/101081475;Media Literacy for Democracy focuses on the promotion of an effective media literacy strategy based on the multidisciplinary approach and on the cross-sector cooperation with the aim to tackling disinformation, empowering citizens to make informed decisions and protect democratic values. To do this, the consortium brings together 6 partners from 5 EU countries (IT, IE, ES, BG, PL), which will implement 10 events, in collaboration with different stakeholders across the participating partners’ countries. ;1-10-2022;31-3-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Citizens, Equality, Rights and Values Programme (CERV);;CERV-2022-CITIZENS-CIV;Partner;145.060,00;145.060,00;;6
101066032;PlasMOF;Closed;Mass spectrometry assisted sustainable green approaches for food safety and authenticity;;https://cordis.europa.eu/project/id/101066032;The agri-food chain has exhaustive controls throughout a product’s life cycle. Food authenticity and safety are fully supported by protocols and legislated by various organisations. To address quality, authenticity and safety challenges, the EU-funded PlasMOF project proposes cutting-edge solutions that rely on advanced mass spectrometry and innovative design materials. Using novel ionisation techniques based on dielectric barrier discharge ionisation and green sample preparation methods that are improved with metal-organic frameworks should offer several advantages in tackling food quality and safety issues. The project will implement these technologies to assess virgin olive oil authenticity and to detect fraud in this oil and other products such as wine.;1-10-2022;30-9-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;HORIZON.1.2 - Marie Skłodowska-Curie Actions (MSCA) ;MSCA Postdoctoral Fellowships 2021 ;HORIZON-MSCA-2021-PF-01;Individual Project;165.312,96;165.312,96;;1
101062775;MACOOIL;Closed;Multidimensional Approaches for Comprehensive Olive Oil Authentication;;https://cordis.europa.eu/project/id/101062775;Extra virgin olive oil is incredibly good for your health and delicious. It is also expensive. This is probably why the market is rife with fakes, frauds, and scams. The assessment of the quality, safety, and authenticity of virgin olive oil is important. The EU, the International Olive Council and The Codex Alimentarius (FAO-WHO) have established guidelines and regulations. However, current gaps in EU analytical methods include the detection of selected blends of olive oil mixed with other vegetable oils (seed oils), to identify fraud. The Marie Skłodowska-Curie Actions (MSCA) project MACOOIL will develop new tools to extend the potential to detect fraudulent practices of mixing virgin with refined (deodorised) lower-quality olive oil.;1-10-2022;30-9-2023;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;HORIZON.1.2 - Marie Skłodowska-Curie Actions (MSCA) ;MSCA Postdoctoral Fellowships 2021 ;HORIZON-MSCA-2021-PF-01;Individual Project;181.152,96;181.152,96;;1
101100778;5Dculture;Closed;Deploying and Demonstrating a 3D cultural heritage space;https://5dculture.eu/;https://pro.europeana.eu/project/5dculture-deploying-and-demonstrating-a-3d-cultural-heritage-space;5Dculture enriches the offer of European 3D digital cultural heritage assets in the data space and fosters their reuse in important domains such as education, tourism and the wider cultural and creative sectors towards socially and economically sustainable outcomes. In particular, the project will: a) deliver high-quality 3D content by identifying and engaging existing datasets from partners’ collections focusing on topics of fashion, archaeology and architecture, all of which occupy a central place in the vast cultural heritage of Europe and b) develop several reuse scenarios, which will experiment with the aforementioned assets in their complexity (from high-quality to derivatives) in the following domains: Fashion Collections, Archaeological 3D Content, and Historic Buildings and Cityscapes.;1-1-2023;31-12-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Digital Europe Programme (DIGITAL);DIGITAL-2022-CULTURAL-02-HERITAGE;DIGITAL-2022-CULTURAL-02;Partner;110.949,37;55.474,69;;12
2023-1-ES01-KA131-HED-000118177;;Closed;Mobility of higher education students and staff supported by internal policy funds (KA131-HED) - Coordinator: UNIVERSIDAD DE JAEN;;https://erasmus-plus.ec.europa.eu/projects/search/details/2023-1-ES01-KA131-HED-000118177;This action supports physical and blended mobility of higher education students and staff from EU Member States and third countries associated to Erasmus+ to any country in the world. Students in all study fields and cycles can take part in a study period or traineeship abroad. Higher education teaching and administrative staff can take part in professional development activities abroad, as well as staff from the field of work in order to teach and train students or staff at higher education institutions.;1-6-2023;31-7-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Learning Mobility of Individuals;ErasmusPlus_KA1_2023;Coordinator;;1.701.845,50;;1
LIFE20 NAT/ES/001487;LIFE Olivares Vivos +;Ongoing;LIFE Olivares Vivos + Increasing the impact of Olivares Vivos in the EU;https://www.olivaresvivos.com/life-olivares-plus/;https://webgate.ec.europa.eu/life/publicWebsite/project/LIFE20-NAT-ES-001487/life-olivares-vivos-increasing-the-impact-of-olivares-vivos-in-the-eu;Olive groves in the EU cover more than 5.3 million hectares, an area bigger than Belgium. One of the main crops in Spain, Italy, Greece and Portugal, olive groves are important for halting biodiversity loss and preserving stocks of natural resources – known as natural capital. An earlier LIFE project showed how biodiversity can be improved in olive groves while also halting soil loss and reducing pesticide use, thereby lowering production costs. SEO/BirdLife aims to expand the use of its model through a brand-new project, LIFE Olivares Vivos +. The team aims to receive at least 500 applications from farmers interested in applying the model and becoming ‘Olivares Vivos' certified. At least 10 000 hectares of olive groves harvested to produce olive oil - an area about 15 times the size of Gibraltar - are expected to receive certification, showing they help conserve biodiversity. Several farms will also be certified for table olive production. Thanks to the project, flora and fauna are expected to increase by 10% in just three years in newly certified farms, and pesticide use should fall by at least half.;1-9-2021;30-9-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Programme for the Environment and Climate Action (LIFE);Nature and biodiversity;LIFE 2020;Partner;7.031.291,00;4.166.970,00;;9
CA20138;NEXUSNET;Ongoing;NETWORK ON WATER-ENERGY-FOOD NEXUS FOR A LOW-CARBON ECONOMY IN EUROPE AND BEYOND ;https://nexusnet-cost.com/;https://www.cost.eu/actions/CA20138/;An international network of researchers is working with policymakers and the business sector to better understand how the water-energy-food Nexus fosters policy coherence in the domains of water, energy and food, supporting the transition towards a circular and low-carbon economy in Europe. Focus is on job creation, enhancing wellbeing and care for the environment. The Nexus concept is tested at different scales (i.e. local, regional, national, European), while the international dimension is explored through the involvement of international proposers. More Nexus-compliant practices are foreseen through a knowledge sharing hub at European level and beyond. Public-private initiatives pave the path for Nexus compliant practices, building on network members’ advice. NEXUSNET will deliver examples of nexus compliant decision making, and recommendations to best achieve them, to come-up with an overview of Good Nexus Practices in Europe (policy coherence, Nexus-compliant practices and more coherent nexus evaluations). Transdisciplinary approaches are adopted to test Nexus compliant practices with the involvement of relevant stakeholders, while interaction and engagement with current and finished Nexus-related projects will be pursued. Academic Nexus knowledge will be translated into practical and applicable knowledge for the private sector or policy makers. A series of intense knowledge transfer and dissemination actions are planned to ensure that the network will have a significant impact in Europe and beyond.;22-9-2021;21-9-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
101036900;REFFECT AFRICA;Ongoing;RENEWABLE ENERGIES FOR AFRICA: EFFECTIVE VALORIZATION OF AGRI-FOOD WASTES;https://www.reffect-africa.eu/;http://cordis.europa.eu/project/id/101036900;The number of people without access to electricity in Africa had dropped in recent years, from 860 million in 2018 to 770 million in 2019. However, the COVID-19 pandemic is reversing this positive trend. In this context, the EU-funded REFFECT AFRICA project will develop innovative, reliable and adapted sustainable energy solutions based on the valorisation of biomass wastes from agriculture and the food industry through biomass gasification. Full-scale demonstrators will be built in Morocco, Ghana and South Africa to consider both urbanised and rural contexts on the continent. The project will propose solutions for on-grid and off-grid communities, such as the generation of renewable energy, its transmission and the use of storage systems.;1-11-2021;31-10-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;H2020-EU.3.3. - SOCIETAL CHALLENGES - Secure, clean and efficient energy;LC-GD-2-3-2020 - Accelerating the green transition and energy access Partnership with Africa;H2020-LC-GD-2020;Coordinator;"	8100151,25";6.962.820,78;;28
