freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,GOV,BG	56.87 	58.4 	55.67 	58.51 	57.77 	56.65 	55.98 	56.92 	57.33 	57.5 	57.55 	: 
A,PC_HC,GOV,CH	: 	34.8 d	35.98 	: 	35.97 	: 	39.23 	: 	39.39 	41.25 	39.45 	: 
A,PC_HC,GOV,CY	51.06 	56.32 	55.93 	57.95 	59.16 	58.46 	58.29 	58.95 	59.73 	: 	58.55 	: 
A,PC_HC,GOV,CZ	39.62 	38.12 	38.84 	40.2 	40.76 	39.97 	40.24 	40.47 	40.68 	41.7 	41.78 d	40.89 dp
A,PC_HC,GOV,DE	34.92 	34.94 b	35.43 d	35.69 d	36.38 d	36.91 d	37.23 d	37.85 d	38.25 d	: 	38.57 b	: 
A,PC_HC,GOV,DK	45.35 	48.5 	49.67 	51.66 	51.81 	50.56 	50.23 p	: 	: 	: 	53.82 	: 
A,PC_HC,GOV,EA20	41.53 e	41.51 e	42.11 e	42.44 e	42.62 e	43.06 e	43.57 e	44.03 e	44.62 e	45.26 e	45.55 e	: 
A,PC_HC,GOV,EA21	41.93 e	41.93 e	42.42 e	42.81 e	42.95 e	43.34 e	43.83 e	44.3 e	44.87 e	45.52 e	45.78 e	: 
A,PC_HC,GOV,EE	59.28 	60.43 	61.23 	60.83 	61.37 	65.51 	65.95 	68.45 	67.58 	63.75 	63.23 	: 
A,PC_HC,GOV,EL	49.88 	: 	42.97 	: 	41.64 	: 	41.22 	42.17 	42.23 	43.2 	43.17 	: 
A,PC_HC,GOV,ES	48.73 	48.54 	50.22 	50.96 	51.28 	51.85 	53.36 	53.8 	54.76 	54.62 	54.55 	: 
A,PC_HC,GOV,EU27_2020	41.77 e	41.98 e	42.66 e	43.44 e	43.8 e	43.69 e	44.29 e	44.58 e	45.16 e	45.74 e	46 e	: 
A,PC_HC,GOV,FI	44.36 	43.91 	44.19 	41.27 	43.31 	42.96 	42.49 	43.7 	43.9 d	44.22 d	45.59 	: 
A,PC_HC,GOV,FR	35.72 e	34.95 e	: 	36.91 	37.03 p	: 	: 	38.03 	38.24 	38.66 	39.54 	: 
A,PC_HC,GOV,HR	51.76 d	52.36 d	52.36 d	52.5 d	54.18 d	55.33 d	55.2 d	56.76 d	57.15 	57.37 	57.02 	: 
A,PC_HC,GOV,HU	41.65 	42.96 	42.89 	42.37 	43.19 	34.72 b	42 	38.53 	40.35 	38.72 	38.2 	: 
