freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,TOTAL,NO	36.95 	37.43 	37.38 	37.58 	38.06 	38.76 	38.59 	38.66 	38.55 	38.73 	39.05 d	: 
A,PC_HC,TOTAL,PL	37.79 	37.23 	37.02 	36.44 	38.11 	37.9 	37.6 	36.58 	36.24 	35.75 	35.97 	: 
A,PC_HC,TOTAL,PT	45.42 b	44.29 	44.14 	43.48 	43.66 	43.25 	42.82 	42.48 	42.56 	42.13 	42.71 	43.33 
A,PC_HC,TOTAL,RO	45.69 	46.01 	46.23 	45.78 	46.74 	46.25 	46.91 	47.26 	46.62 	46.11 	46.51 	: 
A,PC_HC,TOTAL,RS	50.46 	49.15 	49.23 	48.41 	50.04 	51.37 	51.94 	52.87 	52.32 	52.47 	53.48 	52.74 
A,PC_HC,TOTAL,RU	40.88 e	40.52 e	40.31 	: 	39.55 	39.22 	39.08 	: 	: 	: 	: 	: 
A,PC_HC,TOTAL,SE	33.27 be	: 	33.72 e	: 	32.63 	: 	33.27 	: 	33.52 b	: 	33.64 	: 
A,PC_HC,TOTAL,SI	35.99 	36.09 	36.49 	34.51 	32.31 	32.54 	33.3 	33.64 	34.42 	35.03 	35.94 	: 
A,PC_HC,TOTAL,SK	42.7 	42.49 	42.19 	41.42 	41.92 	41.19 	41.03 	41.15 	40.74 	39.97 	39.48 	: 
A,PC_HC,TOTAL,TR	36.23 	36.89 	37.46 	37.94 	37.91 	37.2 	37.45 	37.53 	37.18 	37.33 	37.35 	37.28 
A,PC_HC,TOTAL,UK	38.1 	37.41 e	38.59 	38.67 e	38.75 e	38.6 e	: 	: 	: 	: 	: 	: 
