Data de Referência;Ano e Mes;Código Tipo Ponto Interação;Descrição Tipo Ponto Interação;Código Meio de Interação;Descrição Meio de Interação;Código do Serviço;Descrição do Serviço;Código Ponto Atendimento;Descrição Ponto Atendiemnto;Processos Iniciados
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;44
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;1
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;16
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;4211
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;573
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;38
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;18
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;78
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;39
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;31
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;37
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;28
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;25
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;12596
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1466
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;4
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;11
2026-02-03;202510;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1956
