freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,DE23	: @C	: 	2 	: 	2.46 	: 	2.71 	: 	2.73 	: 	1.77 	: 
A,TOTAL,PC_GDP,DE24	1.84 	: 	1.91 	: 	2.08 	: 	2.52 	: 	2.49 	: 	2.82 	: 
A,TOTAL,PC_GDP,DE25	3.7 	: 	3.71 	: 	3.55 	: 	3.69 	: 	3.66 	: 	2.5 	: 
A,TOTAL,PC_GDP,DE26	2.31 	: 	2.08 	: 	2.81 	: 	2.86 	: 	3.05 	: 	1.99 	: 
A,TOTAL,PC_GDP,DE27	1.26 	: 	1.57 	: 	1.6 	: 	1.66 	: 	1.5 	: 	1.37 	: 
A,TOTAL,PC_GDP,DE30	3.55 	: 	3.52 	: 	3.36 	: 	3.32 	: 	3.37 	: 	3.04 	: 
A,TOTAL,PC_GDP,DE40	1.54 	: 	1.67 	: 	1.69 	: 	1.78 	: 	1.75 	: 	1.49 	: 
A,TOTAL,PC_GDP,DE50	2.74 	: 	2.84 	: 	2.8 	: 	3.03 	: 	3.25 	: 	2.8 	: 
A,TOTAL,PC_GDP,DE60	2.29 	: 	2.24 	: 	2.14 	: 	2.16 	: 	2.21 	: 	2.62 	: 
A,TOTAL,PC_GDP,DE71	3.09 	: 	3.16 	: 	3.26 	: 	3.47 	: 	3.38 	: 	3.36 	: 
A,TOTAL,PC_GDP,DE72	2.43 	: 	2.56 	: 	2.56 	: 	2.23 	: 	2.72 	: 	2.58 	: 
A,TOTAL,PC_GDP,DE73	1.86 	: 	1.6 	: 	1.63 	: 	2.01 	: 	1.93 	: 	1.54 	: 
A,TOTAL,PC_GDP,DE80	1.81 	: 	1.88 	: 	1.77 	: 	1.78 	: 	1.77 	: 	1.37 	: 
A,TOTAL,PC_GDP,DE91	7.03 	: 	9.35 	: 	7.93 	: 	7.61 	: 	6.09 	: 	5.91 	: 
A,TOTAL,PC_GDP,DE92	2.29 	: 	2.39 	: 	2.26 	: 	2.37 	: 	2.53 	: 	3.23 	: 
A,TOTAL,PC_GDP,DE93	1.06 	: 	0.98 	: 	0.92 	: 	0.85 	: 	0.87 	: 	0.99 	: 
A,TOTAL,PC_GDP,DE94	0.78 	: 	0.94 	: 	0.92 	: 	1.01 	: 	1.03 	: 	0.78 	: 
A,TOTAL,PC_GDP,DEA1	1.71 	: 	1.8 	: 	1.96 	: 	2 	: 	1.95 	: 	1.64 	: 
A,TOTAL,PC_GDP,DEA2	2.93 	: 	2.84 	: 	2.98 	: 	3.04 	: 	3.33 	: 	4.05 	: 
A,TOTAL,PC_GDP,DEA3	1.1 	: 	1.14 	: 	1.22 	: 	1.34 	: 	1.3 	: 	1.16 	: 
A,TOTAL,PC_GDP,DEA4	1.95 	: 	1.88 	: 	1.97 	: 	1.97 	: 	1.9 	: 	1.75 	: 
A,TOTAL,PC_GDP,DEA5	1.64 	: 	1.67 	: 	1.75 	: 	1.82 	: 	1.84 	: 	1.76 	: 
A,TOTAL,PC_GDP,DEB1	0.75 	: 	0.73 	: 	0.7 	: 	0.87 	: 	0.89 	: 	0.96 	: 
A,TOTAL,PC_GDP,DEB2	3.18 	: 	3.02 	: 	0.9 	: 	0.91 	: 	0.93 	: 	3.19 	: 
A,TOTAL,PC_GDP,DEB3	2.83 	: 	3.32 	: 	3.98 	: 	4.12 	: 	4.23 	: 	5.28 	: 
A,TOTAL,PC_GDP,DEC0	1.46 	: 	1.57 	: 	1.75 	: 	1.85 	: 	: 	: 	1.62 	: 
A,TOTAL,PC_GDP,DED2	4.01 	: 	3.97 	: 	4.11 	: 	4.41 	: 	4.61 	: 	2.47 	: 
A,TOTAL,PC_GDP,DED4	1.89 	: 	1.78 	: 	1.86 	: 	1.9 	: 	1.91 	: 	2.09 	: 
A,TOTAL,PC_GDP,DED5	1.97 	: 	2.02 	: 	1.97 	: 	2.09 	: 	2.21 	: 	2.13 	: 
A,TOTAL,PC_GDP,DEE0	1.41 	: 	1.41 	: 	1.5 	: 	1.53 	: 	1.6 	: 	1.45 	: 
A,TOTAL,PC_GDP,DEF0	1.49 	: 	1.5 	: 	1.56 	: 	1.66 	: 	1.67 	: 	1.53 	: 
A,TOTAL,PC_GDP,DEG0	2.16 	: 	2.05 	: 	2.22 	: 	2.33 	: 	2.76 	: 	2.58 	: 
A,TOTAL,PC_GDP,DK01	4.73 	4.66 	4.75 	4.88 	4.58 	: 	4.62 p	: 	: 	: 	4.61 	: 
A,TOTAL,PC_GDP,DK02	1.19 	1.05 	1.12 	1.15 	1.4 	: 	1.28 p	: 	: 	: 	1.01 	: 
A,TOTAL,PC_GDP,DK03	1.75 	1.77 	1.9 	1.78 	1.32 	: 	1.46 p	: 	: 	: 	2.01 	: 
A,TOTAL,PC_GDP,DK04	2.71 	2.43 	2.59 	2.49 	2.44 	: 	2.33 p	: 	: 	: 	2.36 	: 
A,TOTAL,PC_GDP,DK05	1.41 	1.51 	1.47 	1.74 	1.96 	: 	1.96 p	: 	: 	: 	1.74 	: 
A,TOTAL,PC_GDP,EE00	1.7 	1.41 	1.44 	1.22 	1.25 	1.38 	1.59 	1.73 	1.75 	1.77 	1.83 	1.99 
A,TOTAL,PC_GDP,EL30	0.95 	: 	1.16 	: 	1.47 	1.56 	1.63 	1.87 	1.79 	1.81 	1.75 	: 
A,TOTAL,PC_GDP,EL41	0.83 	: 	0.75 	: 	0.69 	0.68 	0.71 	0.88 	1.02 	0.91 	1.06 	: 
A,TOTAL,PC_GDP,EL42	0.25 	: 	0.19 	: 	0.18 	0.19 	0.23 	0.29 	0.27 	0.25 	0.24 	: 
A,TOTAL,PC_GDP,EL43	1.4 	: 	1.53 	: 	1.46 	1.48 	1.53 	1.95 	1.88 	1.66 	1.66 	: 
A,TOTAL,PC_GDP,EL51	0.62 	: 	0.69 	: 	0.72 	0.74 	0.78 	1 	1.08 	1.16 	1.16 	: 
